Sentence ID,Sentence,Pattern,Origin Token,Destination Token,Layer,Head,Attention Weight
1,"BRASÍLIA Pesquisa Datafolha publicada hoje revela um dado supreendente : recusando uma postura radical , a esmagadora maioria ( 77 % ) dos de os eleitores quer o PT participando do de o Governo Fernando Henrique Cardoso .",Verbo transitivo direto,dado,revela,1.0,1.0,0.0155616421252489
1,"BRASÍLIA Pesquisa Datafolha publicada hoje revela um dado supreendente : recusando uma postura radical , a esmagadora maioria ( 77 % ) dos de os eleitores quer o PT participando do de o Governo Fernando Henrique Cardoso .",Verbo transitivo direto,dado,revela,1.0,2.0,0.0092122089117765
1,"BRASÍLIA Pesquisa Datafolha publicada hoje revela um dado supreendente : recusando uma postura radical , a esmagadora maioria ( 77 % ) dos de os eleitores quer o PT participando do de o Governo Fernando Henrique Cardoso .",Verbo transitivo direto,dado,revela,1.0,3.0,0.0130582135170698
1,"BRASÍLIA Pesquisa Datafolha publicada hoje revela um dado supreendente : recusando uma postura radical , a esmagadora maioria ( 77 % ) dos de os eleitores quer o PT participando do de o Governo Fernando Henrique Cardoso .",Verbo transitivo direto,dado,revela,1.0,4.0,0.0334363877773284
1,"BRASÍLIA Pesquisa Datafolha publicada hoje revela um dado supreendente : recusando uma postura radical , a esmagadora maioria ( 77 % ) dos de os eleitores quer o PT participando do de o Governo Fernando Henrique Cardoso .",Verbo transitivo direto,dado,revela,1.0,5.0,0.0047308742068707
1,"BRASÍLIA Pesquisa Datafolha publicada hoje revela um dado supreendente : recusando uma postura radical , a esmagadora maioria ( 77 % ) dos de os eleitores quer o PT participando do de o Governo Fernando Henrique Cardoso .",Verbo transitivo direto,dado,revela,1.0,6.0,0.0085093593224883
1,"BRASÍLIA Pesquisa Datafolha publicada hoje revela um dado supreendente : recusando uma postura radical , a esmagadora maioria ( 77 % ) dos de os eleitores quer o PT participando do de o Governo Fernando Henrique Cardoso .",Verbo transitivo direto,dado,revela,1.0,7.0,0.0146943842992186
1,"BRASÍLIA Pesquisa Datafolha publicada hoje revela um dado supreendente : recusando uma postura radical , a esmagadora maioria ( 77 % ) dos de os eleitores quer o PT participando do de o Governo Fernando Henrique Cardoso .",Verbo transitivo direto,dado,revela,1.0,8.0,0.0203777644783258
1,"BRASÍLIA Pesquisa Datafolha publicada hoje revela um dado supreendente : recusando uma postura radical , a esmagadora maioria ( 77 % ) dos de os eleitores quer o PT participando do de o Governo Fernando Henrique Cardoso .",Verbo transitivo direto,dado,revela,1.0,9.0,0.0091356560587883
1,"BRASÍLIA Pesquisa Datafolha publicada hoje revela um dado supreendente : recusando uma postura radical , a esmagadora maioria ( 77 % ) dos de os eleitores quer o PT participando do de o Governo Fernando Henrique Cardoso .",Verbo transitivo direto,dado,revela,1.0,10.0,0.0006895692786201
